forecaster_type,forecaster,date,PS,VI,CI,DI
quant_modeler,economist,2020-03-08,0.07357843137254902,0.2499038831218762,0.03763071895424836,0.21395617070357556
quant_modeler,jhk,2020-03-08,0.05040178571428571,0.25,0.03849702380952381,0.2380952380952381
expert,cook,2020-03-09,0.057499999999999996,0.25,0.023061224489795914,0.21556122448979592
quant_modeler,economist,2020-03-09,0.07068627450980391,0.2499038831218762,0.05107843137254901,0.23029603998462128
quant_modeler,jhk,2020-03-09,0.054107142857142854,0.25,0.021369047619047617,0.21726190476190474
quant_modeler,economist,2020-03-10,0.07088235294117647,0.2499038831218762,0.038202614379084954,0.2172241445597847
quant_modeler,jhk,2020-03-10,0.054107142857142854,0.25,0.021369047619047617,0.21726190476190474
quant_modeler,economist,2020-03-11,0.07308823529411765,0.2499038831218762,0.05021241830065359,0.22702806612841214
quant_modeler,jhk,2020-03-11,0.05272321428571428,0.25,0.01403273809523809,0.2113095238095238
quant_modeler,economist,2020-03-12,0.07308823529411765,0.2499038831218762,0.05021241830065359,0.22702806612841214
quant_modeler,jhk,2020-03-12,0.053214285714285714,0.25,0.014523809523809519,0.2113095238095238
quant_modeler,economist,2020-03-13,0.07161764705882352,0.2499038831218762,0.04874183006535947,0.22702806612841214
quant_modeler,jhk,2020-03-13,0.05504464285714285,0.25,0.02528273809523809,0.22023809523809526
quant_modeler,economist,2020-03-14,0.07014705882352941,0.2499038831218762,0.057075163398692806,0.2368319876970396
quant_modeler,jhk,2020-03-14,0.054107142857142854,0.25,0.02434523809523809,0.22023809523809526
quant_modeler,economist,2020-03-15,0.06549019607843137,0.2499038831218762,0.05241830065359476,0.2368319876970396
quant_modeler,jhk,2020-03-15,0.05415178571428571,0.25,0.024389880952380948,0.22023809523809526
quant_modeler,economist,2020-03-16,0.06627450980392156,0.2499038831218762,0.06627450980392156,0.2499038831218762
quant_modeler,jhk,2020-03-16,0.05308035714285714,0.25,0.03224702380952381,0.22916666666666669
quant_modeler,economist,2020-03-17,0.06553921568627451,0.2499038831218762,0.045931372549019606,0.23029603998462128
quant_modeler,jhk,2020-03-17,0.051517857142857136,0.25,0.024732142857142852,0.22321428571428573
quant_modeler,economist,2020-03-18,0.06279411764705882,0.2499038831218762,0.049722222222222216,0.2368319876970396
quant_modeler,jhk,2020-03-18,0.049999999999999996,0.25,0.029166666666666664,0.22916666666666669
quant_modeler,economist,2020-03-19,0.06401960784313725,0.2499038831218762,0.054215686274509796,0.24009996155324873
quant_modeler,jhk,2020-03-19,0.049999999999999996,0.25,0.029166666666666664,0.22916666666666669
quant_modeler,economist,2020-03-20,0.06377450980392156,0.2499038831218762,0.06377450980392156,0.2499038831218762
quant_modeler,jhk,2020-03-20,0.05004464285714285,0.25,0.029211309523809518,0.22916666666666669
quant_modeler,economist,2020-03-21,0.06450980392156863,0.2499038831218762,0.06450980392156863,0.2499038831218762
quant_modeler,jhk,2020-03-21,0.049999999999999996,0.25,0.029166666666666664,0.22916666666666669
quant_modeler,economist,2020-03-22,0.06519607843137254,0.2499038831218762,0.06519607843137254,0.2499038831218762
quant_modeler,jhk,2020-03-22,0.05223214285714285,0.25,0.04330357142857143,0.24107142857142858
quant_modeler,economist,2020-03-23,0.06519607843137254,0.2499038831218762,0.06519607843137254,0.2499038831218762
quant_modeler,jhk,2020-03-23,0.051651785714285706,0.25,0.04272321428571428,0.24107142857142858
quant_modeler,economist,2020-03-24,0.06588235294117646,0.2499038831218762,0.06588235294117646,0.2499038831218762
quant_modeler,jhk,2020-03-24,0.05098214285714286,0.25,0.042053571428571426,0.24107142857142858
quant_modeler,economist,2020-03-25,0.06764705882352941,0.2499038831218762,0.05457516339869281,0.2368319876970396
quant_modeler,jhk,2020-03-25,0.05147321428571428,0.25,0.04254464285714286,0.24107142857142858
quant_modeler,economist,2020-03-26,0.06926470588235294,0.2499038831218762,0.049656862745098035,0.23029603998462128
quant_modeler,jhk,2020-03-26,0.05160714285714285,0.25,0.04267857142857142,0.24107142857142858
quant_modeler,economist,2020-03-27,0.06926470588235294,0.2499038831218762,0.049656862745098035,0.23029603998462128
quant_modeler,jhk,2020-03-27,0.051517857142857136,0.25,0.04258928571428571,0.24107142857142858
quant_modeler,economist,2020-03-28,0.06926470588235294,0.2499038831218762,0.049656862745098035,0.23029603998462128
quant_modeler,jhk,2020-03-28,0.051651785714285706,0.25,0.04272321428571428,0.24107142857142858
quant_modeler,economist,2020-03-29,0.06926470588235294,0.2499038831218762,0.049656862745098035,0.23029603998462128
quant_modeler,jhk,2020-03-29,0.051517857142857136,0.25,0.04258928571428571,0.24107142857142858
quant_modeler,economist,2020-03-30,0.0684313725490196,0.2499038831218762,0.0488235294117647,0.23029603998462128
quant_modeler,jhk,2020-03-30,0.05160714285714285,0.25,0.04267857142857142,0.24107142857142858
quant_modeler,economist,2020-03-31,0.0684313725490196,0.2499038831218762,0.0488235294117647,0.23029603998462128
quant_modeler,jhk,2020-03-31,0.051339285714285705,0.25,0.04241071428571428,0.24107142857142858
quant_modeler,economist,2020-04-01,0.06259803921568627,0.2499038831218762,0.03972222222222222,0.22702806612841214
quant_modeler,jhk,2020-04-01,0.05178571428571428,0.25,0.04285714285714286,0.24107142857142858
quant_modeler,economist,2020-04-02,0.05990196078431372,0.2499038831218762,0.03702614379084967,0.22702806612841214
quant_modeler,jhk,2020-04-02,0.05183035714285714,0.25,0.04290178571428571,0.24107142857142858
expert,sabato,2020-04-02,0.06058035714285714,0.25,0.03141369047619048,0.22083333333333335
quant_modeler,economist,2020-04-03,0.062107843137254905,0.2499038831218762,0.04249999999999999,0.23029603998462128
expert,inside,2020-04-03,0.050735294117647045,0.2499038831218762,0.0213235294117647,0.22049211841599384
quant_modeler,jhk,2020-04-03,0.05084821428571428,0.25,0.030014880952380946,0.22916666666666669
quant_modeler,economist,2020-04-04,0.06137254901960784,0.2499038831218762,0.04176470588235294,0.23029603998462128
quant_modeler,jhk,2020-04-04,0.05142857142857143,0.25,0.03059523809523809,0.22916666666666669
quant_modeler,economist,2020-04-05,0.061568627450980386,0.2499038831218762,0.041960784313725484,0.23029603998462128
quant_modeler,jhk,2020-04-05,0.05098214285714286,0.25,0.03014880952380952,0.22916666666666669
quant_modeler,economist,2020-04-06,0.06215686274509804,0.2499038831218762,0.03928104575163398,0.22702806612841214
quant_modeler,jhk,2020-04-06,0.051205357142857136,0.25,0.018467261904761896,0.21726190476190474
quant_modeler,economist,2020-04-07,0.06200980392156862,0.2499038831218762,0.03913398692810457,0.22702806612841214
quant_modeler,jhk,2020-04-07,0.05272321428571428,0.25,0.01403273809523809,0.2113095238095238
quant_modeler,economist,2020-04-08,0.06235294117647058,0.2499038831218762,0.039477124183006536,0.22702806612841214
quant_modeler,jhk,2020-04-08,0.049464285714285704,0.25,0.02267857142857142,0.22321428571428573
quant_modeler,economist,2020-04-09,0.06220588235294117,0.2499038831218762,0.04259803921568627,0.23029603998462128
quant_modeler,jhk,2020-04-09,0.05102678571428571,0.25,0.021264880952380945,0.22023809523809526
quant_modeler,economist,2020-04-10,0.062058823529411763,0.2499038831218762,0.042450980392156855,0.23029603998462128
quant_modeler,jhk,2020-04-10,0.050312499999999996,0.25,0.02947916666666666,0.22916666666666669
quant_modeler,economist,2020-04-11,0.062058823529411763,0.2499038831218762,0.042450980392156855,0.23029603998462128
quant_modeler,jhk,2020-04-11,0.05040178571428571,0.25,0.029568452380952372,0.22916666666666669
quant_modeler,economist,2020-04-12,0.06235294117647058,0.2499038831218762,0.039477124183006536,0.22702806612841214
quant_modeler,jhk,2020-04-12,0.04950892857142857,0.25,0.025699404761904753,0.2261904761904762
quant_modeler,economist,2020-04-13,0.05754901960784314,0.2499038831218762,0.033039215686274506,0.22539407920030755
quant_modeler,jhk,2020-04-13,0.05026785714285714,0.25,0.026458333333333327,0.2261904761904762
quant_modeler,economist,2020-04-14,0.05774509803921568,0.2499038831218762,0.023431372549019603,0.2155901576316801
quant_modeler,jhk,2020-04-14,0.051071428571428566,0.25,0.01833333333333333,0.21726190476190474
quant_modeler,economist,2020-04-15,0.056715686274509805,0.2499038831218762,0.03383986928104575,0.22702806612841214
quant_modeler,jhk,2020-04-15,0.05008928571428571,0.25,0.023303571428571423,0.22321428571428573
quant_modeler,economist,2020-04-16,0.05225490196078431,0.2499038831218762,0.027745098039215682,0.22539407920030755
quant_modeler,jhk,2020-04-16,0.048928571428571425,0.25,0.022142857142857134,0.22321428571428573
quant_modeler,economist,2020-04-17,0.051764705882352935,0.2499038831218762,0.02725490196078431,0.22539407920030755
quant_modeler,jhk,2020-04-17,0.048928571428571425,0.25,0.022142857142857134,0.22321428571428573
quant_modeler,economist,2020-04-18,0.051617647058823525,0.2499038831218762,0.027107843137254898,0.22539407920030755
quant_modeler,jhk,2020-04-18,0.04883928571428571,0.25,0.019077380952380946,0.22023809523809526
quant_modeler,economist,2020-04-19,0.051617647058823525,0.2499038831218762,0.027107843137254898,0.22539407920030755
quant_modeler,jhk,2020-04-19,0.048482142857142856,0.25,0.021696428571428564,0.22321428571428573
quant_modeler,economist,2020-04-20,0.051764705882352935,0.2499038831218762,0.02725490196078431,0.22539407920030755
quant_modeler,jhk,2020-04-20,0.04973214285714285,0.25,0.02294642857142857,0.22321428571428573
quant_modeler,economist,2020-04-21,0.0503921568627451,0.2499038831218762,0.025882352941176467,0.22539407920030755
quant_modeler,jhk,2020-04-21,0.04723214285714285,0.25,0.029374999999999995,0.23214285714285715
quant_modeler,economist,2020-04-22,0.04774509803921568,0.2499038831218762,0.03467320261437908,0.2368319876970396
quant_modeler,jhk,2020-04-22,0.04852678571428571,0.25,0.021741071428571426,0.22321428571428573
quant_modeler,economist,2020-04-23,0.04857843137254901,0.2499038831218762,0.035506535947712414,0.2368319876970396
quant_modeler,jhk,2020-04-23,0.048482142857142856,0.25,0.021696428571428568,0.22321428571428573
quant_modeler,economist,2020-04-24,0.04774509803921568,0.2499038831218762,0.03794117647058823,0.24009996155324873
quant_modeler,jhk,2020-04-24,0.04665178571428571,0.25,0.028794642857142855,0.23214285714285715
quant_modeler,economist,2020-04-25,0.04784313725490195,0.2499038831218762,0.038039215686274504,0.24009996155324873
quant_modeler,jhk,2020-04-25,0.04714285714285714,0.25,0.02035714285714285,0.22321428571428573
quant_modeler,economist,2020-04-26,0.046421568627450976,0.2499038831218762,0.046421568627450976,0.2499038831218762
quant_modeler,jhk,2020-04-26,0.046919642857142854,0.25,0.020133928571428567,0.22321428571428573
quant_modeler,economist,2020-04-27,0.04647058823529411,0.2499038831218762,0.03666666666666666,0.24009996155324873
quant_modeler,jhk,2020-04-27,0.048035714285714286,0.25,0.021249999999999995,0.22321428571428573
quant_modeler,economist,2020-04-28,0.04808823529411764,0.2499038831218762,0.035016339869281037,0.2368319876970396
quant_modeler,jhk,2020-04-28,0.047857142857142855,0.25,0.038928571428571423,0.24107142857142858
quant_modeler,economist,2020-04-29,0.04725490196078431,0.2499038831218762,0.03745098039215686,0.24009996155324873
