forecaster,date,PS,VI,CI,DI
cook,2019-01-09,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-10,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-11,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-12,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-13,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-14,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-15,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-16,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-17,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-18,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-19,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-20,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-21,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-22,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-23,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-24,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-25,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-26,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-27,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-28,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-29,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-30,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-01-31,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-01,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-02,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-03,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-04,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-05,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-06,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-07,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-08,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-09,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-10,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-11,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-12,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-13,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-14,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-15,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-16,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-17,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-18,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-19,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-20,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-21,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-22,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-23,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-24,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-25,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-26,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-27,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
cook,2019-02-28,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
sabato,2019-02-28,0.06406862745098038,0.2499038831218762,0.04772875816993463,0.23356401384083045
cook,2019-03-01,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
sabato,2019-03-01,0.06406862745098038,0.2499038831218762,0.04772875816993463,0.23356401384083045
cook,2019-03-02,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
sabato,2019-03-02,0.06406862745098038,0.2499038831218762,0.04772875816993463,0.23356401384083045
cook,2019-03-03,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
sabato,2019-03-03,0.06406862745098038,0.2499038831218762,0.04772875816993463,0.23356401384083045
cook,2019-03-04,0.057009803921568625,0.2499038831218762,0.028251633986928096,0.22114571318723567
sabato,2019-03-04,0.06406862745098038,0.2499038831218762,0.04772875816993463,0.23356401384083045
