Date,State,Rating
2019/11/07,VT,"Safe D"
2019/11/07,WA,"Safe D"
2019/11/07,WI,Tossup
2019/11/07,WV,"Safe R"
2019/11/07,WY,"Safe R"
2020/04/02,AK,"Safe R"
2020/04/02,AL,"Safe R"
2020/04/02,AR,"Safe R"
2020/04/02,AZ,Tossup
2020/04/02,CA,"Safe D"
2020/04/02,CO,"Likely D"
2020/04/02,CT,"Safe D"
2020/04/02,DC,"Safe D"
2020/04/02,DE,"Safe D"
2020/04/02,FL,"Lean R"
2020/04/02,GA,"Lean R"
2020/04/02,HI,"Safe D"
2020/04/02,IA,"Lean R"
2020/04/02,ID,"Safe R"
2020/04/02,IL,"Safe D"
2020/04/02,IN,"Safe R"
2020/04/02,KS,"Safe R"
2020/04/02,KY,"Safe R"
2020/04/02,LA,"Safe R"
2020/04/02,MA,"Safe D"
2020/04/02,MD,"Safe D"
2020/04/02,ME,"Likely D"
2020/04/02,ME-01,"Safe D"
2020/04/02,ME-02,"Lean R"
2020/04/02,MI,"Lean D"
2020/04/02,MN,"Lean D"
2020/04/02,MO,"Safe R"
2020/04/02,MS,"Safe R"
2020/04/02,MT,"Safe R"
2020/04/02,NC,Tossup
2020/04/02,ND,"Safe R"
2020/04/02,NE,"Safe R"
2020/04/02,NE-01,"Safe R"
2020/04/02,NE-02,Tossup
2020/04/02,NE-03,"Safe R"
2020/04/02,NH,"Lean D"
2020/04/02,NJ,"Safe D"
2020/04/02,NM,"Likely D"
2020/04/02,NV,"Lean D"
2020/04/02,NY,"Safe D"
2020/04/02,OH,"Lean R"
2020/04/02,OK,"Safe R"
2020/04/02,OR,"Safe D"
2020/04/02,PA,Tossup
2020/04/02,RI,"Safe D"
2020/04/02,SC,"Safe R"
2020/04/02,SD,"Safe R"
2020/04/02,TN,"Safe R"
2020/04/02,TX,"Lean R"
2020/04/02,UT,"Safe R"
2020/04/02,VA,"Likely D"
2020/04/02,VT,"Safe D"
2020/04/02,WA,"Safe D"
2020/04/02,WI,Tossup
2020/04/02,WV,"Safe R"
2020/04/02,WY,"Safe R"
2020/06/25,AK,"Safe R"
2020/06/25,AL,"Safe R"
2020/06/25,AR,"Safe R"
2020/06/25,AZ,Tossup
2020/06/25,CA,"Safe D"
2020/06/25,CO,"Likely D"
2020/06/25,CT,"Safe D"
2020/06/25,DC,"Safe D"
2020/06/25,DE,"Safe D"
2020/06/25,FL,Tossup
2020/06/25,GA,"Lean R"
2020/06/25,HI,"Safe D"
2020/06/25,IA,"Lean R"
2020/06/25,ID,"Safe R"
2020/06/25,IL,"Safe D"
2020/06/25,IN,"Safe R"
2020/06/25,KS,"Safe R"
2020/06/25,KY,"Safe R"
2020/06/25,LA,"Safe R"
2020/06/25,MA,"Safe D"
2020/06/25,MD,"Safe D"
2020/06/25,ME,"Likely D"
2020/06/25,ME-01,"Safe D"
2020/06/25,ME-02,"Lean R"
2020/06/25,MI,"Lean D"
2020/06/25,MN,"Lean D"
