cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/3/20,Trump,Biden,,Ohio,0.0182125,0.4671486,0.546725,0.453275,,49.79167,49.20341,,1.004913,53.13055,52.53614,,1.469088,46.46594,45.848,,0.5887882,0.588254,7.268904,-6.059555,0.1893091,0.9991176,0.9961501,0.5079352,6175439,6962428,5402875,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,North Dakota,0.0003375,0.1484461,0.975925,0.024075,,59.62574,37.92917,,2.445087,65.7225,43.95776,,3.649909,53.56664,31.89008,,1.385431,21.69657,33.78543,9.67041,0.1061557,0.9875389,0.9971126,0.0266655,367402,422508,313740,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,North Carolina,0.05175,1.447434,0.360675,0.639325,,48.76913,50.53209,,0.6987836,52.09756,53.86943,,1.013315,45.44023,47.20729,,0.4144816,-1.762964,4.889326,-8.41433,0.2741388,0.9914754,0.9516362,0.710941,5687384,6420878,4970191,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,New York,0.0001375,0.0027208,0.0001,0.9999,,34.95478,64.0599,,0.9853184,38.43977,67.5193,,1.439822,31.51118,60.5643,,0.5777018,-29.10512,-22.14002,-35.99786,0.25,0.8916141,0.0002406,0.9999159,8451214,9588660,7346283,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,New Mexico,0.0116625,1.882826,0.02245,0.97755,,42.57364,55.60472,,1.821635,46.52713,59.5356,,2.700274,38.63103,51.63435,,1.04422,-13.03108,-5.189375,-20.83634,0.564588,0.9024346,0.1219923,0.9894291,978207,1105804,853600,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,New Jersey,0.0039375,0.1426436,0.007975,0.992025,,39.4347,59.74265,,0.8226508,43.96515,64.24769,,1.197225,34.94089,55.19937,,0.4853277,-20.30795,-11.23834,-29.28953,0.3605016,0.8936267,0.0276708,0.9942799,4385652,4957544,3825778,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,New Hampshire,0.0112625,2.123295,0.10915,0.89085,,44.21028,54.83103,,0.9586862,49.7715,60.37542,,1.400021,38.69019,49.2598,,0.562619,-10.62075,0.5062981,-21.67691,0.414109,0.929702,0.4350337,0.9289199,842850,951379,737421,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Nevada,0.03365,3.946862,0.1219,0.8781,,46.2142,52.33038,,1.45542,49.61931,55.70439,,2.145838,42.85277,48.92238,,0.8414492,-6.116173,0.6536694,-12.82833,0.5299426,0.951116,0.6217517,0.9367149,1361268,1535414,1189624,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Nebraska,0,0,0.994375,0.005625,,58.17965,40.18031,,1.640038,62.02829,44.02349,,2.422428,54.31487,36.3522,,0.9440672,17.99934,25.61084,10.33891,0.1044375,0.9911111,0.9995188,0.0062528,935680,1066747,808774,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,NE-3,0,0,0.99975,0.00025,,72.46109,25.43194,,2.106971,77.62733,30.64904,,3.134396,67.19337,20.2944,,1.200946,47.02916,57.27839,36.58876,0.103901,0.9,0.9997594,0.0002524,300428,352620,249823,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,NE-2,0.009825,4.825861,0.283125,0.716875,,47.76451,51.00265,,1.232838,51.50292,54.75776,,1.810547,44.01926,47.26456,,0.7170255,-3.238136,4.230997,-10.71441,0.3063135,0.974891,0.8346968,0.7838436,323911,365551,282811,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,NE-1,0.000025,0.0133298,0.96075,0.03925,,55.27732,43.10801,,1.614667,59.43633,47.27111,,2.386472,51.0914,38.95255,,0.9298104,12.16931,20.45369,3.850151,0.1079105,0.9942675,0.9978344,0.0437696,311382,353850,269899,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Montana,0.0016875,0.3990795,0.8197,0.1803,,52.21243,45.86065,,1.926931,56.79631,50.41886,,2.860203,47.64249,41.26585,,1.102158,6.351779,15.46569,-2.733501,0.1244053,0.9893234,0.9814726,0.2000617,661598,752000,574135,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Missouri,0.0005,0.0252182,0.93635,0.06365,,54.06274,44.63382,,1.303444,57.94723,48.50304,,1.91682,50.20963,40.75871,,0.7566,9.428916,17.14583,1.745464,0.1108827,0.9988217,0.9992781,0.0713044,3093735,3513746,2683221,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Mississippi,0.0017875,0.2153382,0.91515,0.08485,,56.7873,42.47904,,0.7336658,63.32964,49.02977,,1.065037,50.22856,35.94469,,0.4344881,14.30826,27.37911,1.186481,0.1114298,0.9770183,0.9814726,0.0929789,1322020,1495622,1151069,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Minnesota,0.0307,1.466822,0.0419,0.9581,,44.63279,53.70286,,1.664351,47.93686,56.98466,,2.461739,41.36865,50.39566,,0.9573163,-9.070075,-2.525496,-15.54254,0.7225537,0.918615,0.2913859,0.9871299,3336925,3764243,2917974,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Michigan,0.07735,2.227375,0.053175,0.946825,,45.51814,53.50359,,0.9782695,48.6062,56.58699,,1.429286,42.44266,50.41083,,0.5737115,-7.985446,-1.81028,-14.12498,0.8274565,0.932168,0.4234841,0.9899058,5507693,6213915,4812472,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Massachusetts,0.0001,0.0039082,0.000525,0.999475,,31.83414,66.6557,,1.510161,36.67346,71.46703,,2.22848,27.05964,61.77989,,0.8718652,-34.82156,-25.13198,-44.35202,0.2857143,0.8916931,0.0014437,0.9995794,3658658,4160150,3168715,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Maryland,0.000225,0.0117787,0.00045,0.99955,,33.63115,64.98491,,1.383938,37.74099,69.10497,,2.03799,29.51032,60.84455,,0.8016068,-31.35376,-23.14306,-39.54779,0.2222222,0.8916513,0.0009625,0.9996074,3091488,3517303,2681332,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Maine,0.0047,0.9020321,0.098825,0.901175,,43.36839,55.16259,,1.469015,49.25535,60.9924,,2.165097,37.53436,49.28973,,0.8490654,-11.7942,-0.0701847,-23.42292,0.3399949,0.9173856,0.3233879,0.9272376,829633,937397,724401,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,ME-2,0.005,2.031168,0.42745,0.57255,,48.40912,50.02139,,1.569485,54.76344,56.42816,,2.318121,42.00358,43.62418,,0.9047699,-1.612271,11.12426,-14.38192,0.201895,0.9674701,0.8306063,0.6212708,393566,444849,343542,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,ME-1,0.000325,0.1185662,0.027225,0.972775,,38.81877,59.8029,,1.378335,45.18866,66.0918,,2.029545,32.55441,53.43081,,0.7984799,-20.98413,-8.258614,-33.51309,0.2910928,0.8967644,0.0762753,0.9784096,436200,493229,380818,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Louisiana,0.0005125,0.0378799,0.97115,0.02885,,58.77507,40.21692,,1.008011,64.27904,45.76768,,1.473714,53.22961,34.69956,,0.5905401,18.55815,29.54362,7.475311,0.1066262,0.9861352,0.9966314,0.0319089,2166297,2463069,1879954,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Kentucky,0.0001375,0.0098458,0.9858,0.0142,,58.40049,40.39526,,1.204258,63.01788,45.00567,,1.76758,53.79269,35.79268,,0.7009927,18.00523,27.19695,8.824629,0.1053206,0.9947183,0.9992781,0.0158423,2099896,2397577,1810686,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Kansas,0,0,0.985525,0.014475,,55.71799,42.49542,,1.786586,59.31412,46.08864,,2.64705,52.11169,38.90716,,1.02489,13.22257,20.34978,6.080341,0.1054007,0.9982729,0.9997594,0.0162068,1318264,1498417,1143241,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Iowa,0.00655,0.6125844,0.6013,0.3987,,49.96206,48.49138,,1.546558,53.77196,52.33279,,2.283462,46.12854,44.67287,,0.8920602,1.470683,9.067389,-6.163172,0.1712124,0.9975545,0.9908566,0.4460801,1700753,1922529,1483939,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Indiana,0.0002125,0.010515,0.96445,0.03555,,54.7612,43.98542,,1.253378,58.42366,47.65271,,1.841441,51.09765,40.32183,,0.728547,10.77577,18.07365,3.455923,0.1077298,1,1,0.0398721,3092778,3504555,2687116,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Illinois,0.0007375,0.0189419,0.0007,0.9993,,40.38817,58.27946,,1.332369,43.39642,61.27242,,1.960361,37.39405,55.27476,,0.7727977,-17.89128,-11.9164,-23.81308,0.9285714,0.8921745,0.006256,0.9999439,6185579,6996308,5385176,11/3/20 0:00,40000
2020,President,polls-plus,11/3/20,Trump,Biden,,Idaho,0,0,0.994375,0.005625,,59.47557,37.50751,,3.016928,64.16412,42.18948,,4.527451,54.73436,32.87292,,1.694281,21.96806,31.14692,12.7069,0.1044626,0.9955556,0.9997594,0.0062808,815884,937103,698810,11/3/20 0:00,40000
